[session 0 finished] 22:19:08;   actions taken = 357.0000;       mean reward = 0.0140;   total reward = 5.0000
[session 1 finished] 22:19:12;   actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 2 finished] 22:19:15;   actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 3 finished] 22:19:16;   actions taken = 158.0000;       mean reward = 0.0316;   total reward = 5.0000
[session 4 finished] 22:19:16;   actions taken = 22.0000;        mean reward = 0.2273;   total reward = 5.0000
[session 5 finished] 22:19:17;   actions taken = 138.0000;       mean reward = 0.0362;   total reward = 5.0000
[session 6 finished] 22:19:18;   actions taken = 61.0000;        mean reward = 0.0820;   total reward = 5.0000
[session 7 finished] 22:19:19;   actions taken = 156.0000;       mean reward = 0.0321;   total reward = 5.0000
[session 8 finished] 22:19:22;   actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 9 finished] 22:19:23;   actions taken = 69.0000;        mean reward = 0.0725;   total reward = 5.0000
[session 10 finished] 22:19:26;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 11 finished] 22:19:29;  actions taken = 258.0000;       mean reward = 0.0194;   total reward = 5.0000
[session 12 finished] 22:19:33;  actions taken = 337.0000;       mean reward = 0.0148;   total reward = 5.0000
[session 13 finished] 22:19:35;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 14 finished] 22:19:39;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 15 finished] 22:19:44;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 16 finished] 22:19:49;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 17 finished] 22:19:53;  actions taken = 323.0000;       mean reward = 0.0155;   total reward = 5.0000
[session 18 finished] 22:19:55;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 19 finished] 22:20:00;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 20 finished] 22:20:01;  actions taken = 119.0000;       mean reward = 0.0420;   total reward = 5.0000
[session 21 finished] 22:20:04;  actions taken = 232.0000;       mean reward = 0.0216;   total reward = 5.0000
[session 22 finished] 22:20:04;  actions taken = 73.0000;        mean reward = 0.0685;   total reward = 5.0000
[session 23 finished] 22:20:09;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 24 finished] 22:20:11;  actions taken = 265.0000;       mean reward = 0.0189;   total reward = 5.0000
[session 25 finished] 22:20:13;  actions taken = 294.0000;       mean reward = 0.0170;   total reward = 5.0000
[session 26 finished] 22:20:16;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 27 finished] 22:20:19;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 28 finished] 22:20:21;  actions taken = 187.0000;       mean reward = 0.0267;   total reward = 5.0000
[session 29 finished] 22:20:23;  actions taken = 191.0000;       mean reward = 0.0262;   total reward = 5.0000
[session 30 finished] 22:20:25;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 31 finished] 22:20:29;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 32 finished] 22:20:32;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 33 finished] 22:20:35;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 34 finished] 22:20:38;  actions taken = 335.0000;       mean reward = 0.0149;   total reward = 5.0000
[session 35 finished] 22:20:38;  actions taken = 77.0000;        mean reward = 0.0649;   total reward = 5.0000
[session 36 finished] 22:20:39;  actions taken = 134.0000;       mean reward = 0.0373;   total reward = 5.0000
[session 37 finished] 22:20:43;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 38 finished] 22:20:43;  actions taken = 33.0000;        mean reward = 0.1515;   total reward = 5.0000
[session 39 finished] 22:20:49;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 40 finished] 22:20:51;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 41 finished] 22:20:55;  actions taken = 280.0000;       mean reward = 0.0179;   total reward = 5.0000
[session 42 finished] 22:20:57;  actions taken = 324.0000;       mean reward = 0.0154;   total reward = 5.0000
[session 43 finished] 22:21:01;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 44 finished] 22:21:05;  actions taken = 353.0000;       mean reward = 0.0142;   total reward = 5.0000
[session 45 finished] 22:21:07;  actions taken = 228.0000;       mean reward = 0.0219;   total reward = 5.0000
[session 46 finished] 22:21:08;  actions taken = 137.0000;       mean reward = 0.0365;   total reward = 5.0000
[session 47 finished] 22:21:08;  actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000
[session 48 finished] 22:21:11;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 49 finished] 22:21:12;  actions taken = 89.0000;        mean reward = 0.0562;   total reward = 5.0000
[session 50 finished] 22:21:15;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 51 finished] 22:21:17;  actions taken = 185.0000;       mean reward = 0.0270;   total reward = 5.0000
[session 52 finished] 22:21:17;  actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000
[session 53 finished] 22:21:21;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 54 finished] 22:21:22;  actions taken = 128.0000;       mean reward = 0.0391;   total reward = 5.0000
[session 55 finished] 22:21:22;  actions taken = 10.0000;        mean reward = 0.5000;   total reward = 5.0000
[session 56 finished] 22:21:25;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 57 finished] 22:21:26;  actions taken = 128.0000;       mean reward = 0.0391;   total reward = 5.0000
[session 58 finished] 22:21:26;  actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000
[session 59 finished] 22:21:30;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 60 finished] 22:21:34;  actions taken = 296.0000;       mean reward = 0.0169;   total reward = 5.0000
[session 61 finished] 22:21:35;  actions taken = 214.0000;       mean reward = 0.0234;   total reward = 5.0000
[session 62 finished] 22:21:38;  actions taken = 319.0000;       mean reward = 0.0157;   total reward = 5.0000
[session 63 finished] 22:21:41;  actions taken = 331.0000;       mean reward = 0.0151;   total reward = 5.0000
[session 64 finished] 22:21:44;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 65 finished] 22:21:44;  actions taken = 15.0000;        mean reward = 0.3333;   total reward = 5.0000
[session 66 finished] 22:21:47;  actions taken = 327.0000;       mean reward = 0.0153;   total reward = 5.0000
[session 67 finished] 22:21:48;  actions taken = 189.0000;       mean reward = 0.0265;   total reward = 5.0000
[session 68 finished] 22:21:52;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 69 finished] 22:21:57;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 70 finished] 22:21:57;  actions taken = 90.0000;        mean reward = 0.0556;   total reward = 5.0000
[session 71 finished] 22:22:02;  actions taken = 344.0000;       mean reward = 0.0145;   total reward = 5.0000
[session 72 finished] 22:22:02;  actions taken = 23.0000;        mean reward = 0.2174;   total reward = 5.0000
[session 73 finished] 22:22:04;  actions taken = 185.0000;       mean reward = 0.0270;   total reward = 5.0000
[session 74 finished] 22:22:07;  actions taken = 290.0000;       mean reward = 0.0172;   total reward = 5.0000
[session 75 finished] 22:22:07;  actions taken = 53.0000;        mean reward = 0.0943;   total reward = 5.0000
[session 76 finished] 22:22:10;  actions taken = 300.0000;       mean reward = 0.0167;   total reward = 5.0000
[session 77 finished] 22:22:12;  actions taken = 204.0000;       mean reward = 0.0245;   total reward = 5.0000
[session 78 finished] 22:22:13;  actions taken = 154.0000;       mean reward = 0.0325;   total reward = 5.0000
[session 79 finished] 22:22:14;  actions taken = 161.0000;       mean reward = 0.0311;   total reward = 5.0000
[session 80 finished] 22:22:17;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 81 finished] 22:22:21;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 82 finished] 22:22:25;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 83 finished] 22:22:27;  actions taken = 267.0000;       mean reward = 0.0187;   total reward = 5.0000
[session 84 finished] 22:22:27;  actions taken = 62.0000;        mean reward = 0.0806;   total reward = 5.0000
[session 85 finished] 22:22:31;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 86 finished] 22:22:35;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 87 finished] 22:22:35;  actions taken = 74.0000;        mean reward = 0.0676;   total reward = 5.0000
[session 88 finished] 22:22:39;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 89 finished] 22:22:43;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 90 finished] 22:22:43;  actions taken = 96.0000;        mean reward = 0.0521;   total reward = 5.0000
[session 91 finished] 22:22:47;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 92 finished] 22:22:49;  actions taken = 203.0000;       mean reward = 0.0246;   total reward = 5.0000
