[session 1 finished] 20:24:02;   actions taken = 334.0000;       mean reward = 0.0150;   total reward = 5.0000;  epsilon = 1.0000;       mean loss = 0.1501
[session 2 finished] 20:24:07;   actions taken = 201.0000;       mean reward = 0.0249;   total reward = 5.0000;  epsilon = 1.0000;       mean loss = 0.1569
[session 3 finished] 20:24:09;   actions taken = 71.0000;        mean reward = 0.0704;   total reward = 5.0000;  epsilon = 1.0000;       mean loss = 0.3662
[session 4 finished] 20:24:15;   actions taken = 297.0000;       mean reward = 0.0168;   total reward = 5.0000;  epsilon = 0.9900;       mean loss = 0.0887
[session 5 finished] 20:24:23;   actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.9900;       mean loss = 0.0031
[session 6 finished] 20:24:26;   actions taken = 153.0000;       mean reward = 0.0327;   total reward = 5.0000;  epsilon = 0.9800;       mean loss = 0.1629
[session 7 finished] 20:24:36;   actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.9800;       mean loss = 0.0010
[session 8 finished] 20:24:39;   actions taken = 165.0000;       mean reward = 0.0303;   total reward = 5.0000;  epsilon = 0.9700;       mean loss = 0.1504
[session 9 finished] 20:24:41;   actions taken = 58.0000;        mean reward = 0.0862;   total reward = 5.0000;  epsilon = 0.9700;       mean loss = 0.4217
[session 10 finished] 20:24:41;  actions taken = 9.0000;         mean reward = 0.5556;   total reward = 5.0000;  epsilon = 0.9600;       mean loss = 2.7364
[session 11 finished] 20:24:41;  actions taken = 13.0000;        mean reward = 0.3846;   total reward = 5.0000;  epsilon = 0.9600;       mean loss = 1.8124
[session 12 finished] 20:24:46;  actions taken = 194.0000;       mean reward = 0.0258;   total reward = 5.0000;  epsilon = 0.9500;       mean loss = 0.1279
[session 13 finished] 20:24:51;  actions taken = 232.0000;       mean reward = 0.0216;   total reward = 5.0000;  epsilon = 0.9500;       mean loss = 0.1075
[session 14 finished] 20:25:00;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.9400;       mean loss = 0.0017
[session 15 finished] 20:25:09;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.9400;       mean loss = 0.0006
[session 16 finished] 20:25:09;  actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.9300;       mean loss = 4.8743
